# SAT(MJD)        RM     RMerr_minus RMerr_plus
59309.4115359767 -629.08 1.34 1.49
59310.3604872246 -598.00 1.34 1.51
59314.3745150997 -608.34 0.46 0.43
59314.3303725826 -620.78 1.14 1.11
59313.3519822647 -605.73 0.33 0.32
59315.4005413714 -669.47 0.31 0.28
59315.3556305877 -689.57 0.57 0.61
59312.3229929653 -603.75 0.47 0.47
59315.3348902116 -717.20 0.22 0.22
59309.3794476896 -624.62 0.35 0.41
59314.3465619919 -604.41 0.57 0.55
59309.4125514456 -625.55 1.90 1.98
59313.3917383688 -599.70 0.48 1.50
59313.3674562767 -602.43 2.68 2.83
59307.3359713276 -656.12 0.53 0.52
59315.3388001651 -683.14 1.21 1.21
59311.3299287296 -564.13 0.45 0.48
59313.3539592408 -593.84 0.34 0.33
59314.3976306094 -590.00 1.20 1.32
59313.3932610510 -597.37 0.31 0.29
59313.3684575058 -594.31 1.21 1.14
59314.3632367940 -603.27 1.20 1.24
59312.3229943645 -592.67 3.18 2.71
59311.3709227327 -613.53 2.08 2.19
59315.3595196556 -675.52 0.45 0.45
59315.4005662064 -667.74 0.15 0.15
59313.3562074713 -623.35 0.51 0.52
59314.3773358792 -641.02 0.34 0.35
59313.3932613440 -596.33 0.45 0.48
59308.3717743250 -656.92 0.31 0.31
59315.3237887692 -665.79 1.87 1.93
59315.3392008217 -671.96 1.10 1.09
59311.3374743132 -580.03 0.24 0.25
59309.3842160809 -619.78 0.45 0.43
59309.4179379858 -608.86 0.43 0.41
59314.3633555232 -595.87 0.47 0.39
59314.3375064481 -613.54 2.66 2.77
59314.3985392341 -640.27 0.59 0.60
59313.3352851485 -621.08 0.26 0.27
59311.4075839674 -594.76 0.70 0.64
59315.3246570182 -619.33 1.40 1.56
59311.3713735351 -606.43 0.45 0.45
59313.4014790305 -612.80 0.17 0.18
59307.3556378527 -658.50 2.04 1.69
59313.3570529040 -604.98 1.49 1.53
59315.3418313511 -699.33 0.44 0.46
59315.3611578991 -676.99 0.34 0.34
59313.3684593779 -620.91 1.56 1.69
59314.3992592606 -649.66 0.72 0.68
59314.3646894266 -621.49 0.71 0.83
59314.3507554327 -630.80 0.49 0.45
59315.3819258632 -693.77 2.08 1.95
59315.3264588313 -676.60 0.45 0.46
59312.3265154062 -605.55 0.84 0.82
59311.4084200308 -586.97 0.91 0.87
59314.3775989901 -603.92 0.19 0.20
59313.3364752092 -609.11 0.47 0.48
59313.3601839475 -610.98 0.61 0.66
59313.3722056113 -588.04 0.51 0.49
59314.3996089608 -618.62 0.27 0.25
59308.3793024763 -654.87 0.52 0.56
59315.3269945665 -696.01 0.45 0.43
59313.4041714433 -598.29 0.57 0.64
59313.3364757731 -592.57 0.53 0.55
59312.3278421265 -623.67 0.28 0.29
59314.3827332118 -603.48 0.61 0.65
59315.3643228258 -670.72 0.24 0.23
59311.3499458819 -577.94 2.51 2.02
59313.3608405400 -606.55 1.06 1.00
59315.3420932048 -684.98 0.56 0.60
59312.2781223191 -589.84 0.42 0.40
59313.3736096811 -606.41 0.30 0.30
59313.3371454437 -599.58 0.55 0.56
59314.3380472169 -598.97 1.63 1.64
59315.3278520920 -692.55 0.74 0.74
59315.3421400547 -684.01 5.58 3.75
59315.4028869665 -661.11 0.58 0.70
59308.3813659701 -662.02 0.96 0.96
59311.3522949110 -556.30 0.66 0.63
59315.3835602282 -689.23 1.53 1.60
59312.2902130007 -606.23 0.46 0.52
59311.3804165591 -572.71 1.33 1.43
59312.3355719811 -615.46 0.59 0.58
59314.4003875653 -603.48 0.60 0.59
59314.3862349434 -650.28 1.72 1.85
59315.3295251265 -644.68 1.81 1.84
59315.4029465984 -678.21 0.27 0.26
59315.3868188223 -659.46 0.34 0.33
59314.3690045446 -616.93 1.71 1.77
59313.3614914091 -590.46 0.67 0.62
59311.3810116526 -571.20 0.17 0.32
59314.4005438688 -608.48 1.34 1.37
59314.3874044508 -583.85 1.17 1.10
59312.3419817239 -590.43 0.55 0.49
59315.3440044643 -645.59 1.37 1.45
59310.3938761029 -603.52 1.52 1.64
59316.3207878218 -735.04 2.21 2.38
59315.3298073934 -703.82 1.34 1.30
59315.3672858022 -707.00 2.69 2.85
59313.3442926995 -620.05 0.33 0.33
59308.3888770505 -651.08 0.46 0.49
59313.4047263923 -592.24 0.45 0.47
59314.4006499288 -630.28 0.43 0.40
59315.3882212287 -692.34 1.34 1.32
59315.3459484269 -685.43 1.35 1.28
59311.3810118414 -571.78 0.22 0.23
59314.3551539324 -614.43 0.93 1.01
59313.3634990322 -602.57 2.74 2.55
59315.3301686406 -709.15 0.89 0.90
59316.3213955354 -703.73 0.19 0.19
59314.3553825805 -612.70 2.88 2.82
59309.4066561571 -635.23 1.50 1.65
59312.3494747188 -621.90 1.28 1.25
59310.3965847661 -615.86 0.64 0.88
59313.3745443688 -579.42 0.50 0.52
59311.3817058199 -573.42 0.58 0.57
59314.3877489045 -635.30 2.31 2.16
59313.4067852377 -617.63 1.13 1.23
59316.3221842169 -733.36 1.33 1.31
59313.3280181320 -608.20 1.01 1.01
59314.3622313118 -614.86 0.62 0.60
59307.3844090984 -665.37 0.35 0.35
59310.3417365583 -606.20 0.61 0.65
59312.3053547135 -618.53 0.21 0.19
59316.3275586192 -739.25 0.66 0.61
59313.4067857422 -606.97 2.71 2.47
59313.3450706959 -600.66 2.18 1.71
59314.3690051208 -624.13 0.67 0.65
59315.3937660859 -681.68 0.25 0.24
59308.3891992843 -671.60 0.34 0.66
59312.3179677824 -598.31 2.49 1.97
59311.3555270483 -598.90 1.34 1.33
59314.4050309524 -633.75 0.53 0.48
59314.3901437774 -641.83 0.55 0.77
59310.3993890667 -620.41 0.41 0.40
59314.3394000162 -620.69 0.24 0.22
